"SeriesCompensator:
ID","SeriesCompensator:
InternalId","SeriesCompensator:
Name","SeriesCompensator:
Parent","SeriesCompensator:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","SeriesCompensator:
ConductingEquipmentUsesABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_9bf96f75-aeb3-4f9e-8cb9-3dbd439087ae,38378706,05CUAPOE-41055-05CUAPOE,_b132819e-3f68-4d9b-9965-b58f366ac5c4,SeriesCompensator,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7e92f54c-8740-46f1-bc72-e080a883b107,38378709,05CUAPOE-41065-05CUAPOE,_b132819e-3f68-4d9b-9965-b58f366ac5c4,SeriesCompensator,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_26a101e3-2121-4096-846e-def4527798ae,38378712,05CUAPOE-41075-05CUAPOE,_b132819e-3f68-4d9b-9965-b58f366ac5c4,SeriesCompensator,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_cb74981e-8cd0-4e5c-8cb0-4c3fa0b0f55d,38378780,05   VSU-52010-05   VSU,_b3b2a22e-966e-46de-9767-cbf383b51d6f,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1e29f004-3dfb-4672-b290-f48aa6f6073c,38378783,05   VSU-52020-05   VSU,_b3b2a22e-966e-46de-9767-cbf383b51d6f,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f3662042-248d-47f9-a95e-247233dc5c33,38378786,05   VSU-52030-05   VSU,_b3b2a22e-966e-46de-9767-cbf383b51d6f,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_64eca360-6f3c-4151-9bbb-9325e7bbc069,38378789,05   VSU-52040-05   VSU,_b3b2a22e-966e-46de-9767-cbf383b51d6f,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_56047840-fd6f-4132-b138-66af186cf1b5,38378800,05   VST-52150-05   VST,_05e51d56-7390-4e20-a75a-73f634f27181,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_53de4b88-7627-46da-bf0f-82c53925f122,38378803,05   VST-52160-05   VST,_05e51d56-7390-4e20-a75a-73f634f27181,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_A00E0523-8C9B-4EE9-B88C-9E33F9703F90,51895660,02   IPO-SLOPE-02   IPO,_2382895d-b809-458b-8827-533eeb490cd5,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5825E274-44AB-4986-8EF1-9FA3A3259AA6,51900347,08ESA-SLP2-08ESA,_d36b4477-6cc6-4980-b289-dfef2376b642,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_0E784CE0-4F9E-456F-8602-06BC85FED8A1,51949534,03KDA-SLP-03KDA,_77f36555-a32a-4090-af76-56b21df50adc,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_730473B3-EE82-457F-A60C-9EDA85A34CE4,51968012,08ESA-SLP1-08ESA,_346a2c2f-debe-4d20-bc0c-43b55b71ae2c,SeriesCompensator,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
