"VoltageLevel:
ID","VoltageLevel:
InternalId","VoltageLevel:
Name","VoltageLevel:
Parent","VoltageLevel:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","VoltageLevel:
VoltageLevelHasABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_3447375d-b631-4bfb-84da-7e30bb6ae55b,1148019,13.8,_95a92716-6a5b-4b97-8aba-d6a19f88dbdc,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_15b3d21f-095d-47f0-9a7d-9b567b113ff8,1148151,115,_75675408-e10b-4a43-a8e3-939f1d54ad94,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e8c69788-80a0-43eb-9c1f-dca03276cb30,1148170,69,_75675408-e10b-4a43-a8e3-939f1d54ad94,VoltageLevel,Network/.Base Voltages/Base 69,590820,Base 69,_8f15c37e-24d4-4d71-9a03-9ca4b5697e70,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2bf22ce9-6e5d-4b9b-80fd-7572911c3acc,1148208,115,_b3258eb2-9add-4f5b-807f-9de9ca572f13,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_46e7160e-3637-4b71-a161-334a71185a0e,1148257,13.8,_b3258eb2-9add-4f5b-807f-9de9ca572f13,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_35d22230-afc9-476e-abe3-fe60544dce15,1148396,115,_c414707d-79eb-47e0-9b1f-d6b46feefc1a,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d033d2ca-32ca-4529-99e0-717d80309bab,1148463,13.8,_c414707d-79eb-47e0-9b1f-d6b46feefc1a,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_aceb26c2-6db4-4880-b27a-1dc73e713db8,1148606,115,_f549f00a-9e21-492f-a248-9ff954f3ddd5,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c72437c6-3ec7-4f2d-b749-0f60797dda97,1148655,13.8,_f549f00a-9e21-492f-a248-9ff954f3ddd5,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9a3ad389-fb6f-4716-8475-171d694793cb,1148799,115,_d47c5c23-df81-4219-a306-6da7648dda38,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_dfc39767-a437-4317-980f-937692460618,1148837,2.4,_d47c5c23-df81-4219-a306-6da7648dda38,VoltageLevel,Network/.Base Voltages/Base 2.4,602864,Base 2.4,_cb290cee-7474-43da-a387-58daed0959fc,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_58148756-0d8f-4d77-be88-bdeca171df69,1148865,13.8,_d47c5c23-df81-4219-a306-6da7648dda38,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_aee2fdc7-b6b5-4f07-b1f3-5725631c4c49,1149084,115,_64e7739b-5b85-4cb0-ba17-dbb2b1ee1891,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ff239e74-6c5b-4447-b1c5-544ce3298eb0,1149136,13.8,_64e7739b-5b85-4cb0-ba17-dbb2b1ee1891,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_75be6439-4c33-498c-a886-7d019ec65849,1149160,34.5,_64e7739b-5b85-4cb0-ba17-dbb2b1ee1891,VoltageLevel,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_efda4889-cff0-4034-b2cb-b7fbe069048d,1149415,115,_0462c584-3920-4ad1-9ff0-2a38b55090ac,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1de284d5-c9e4-4812-8b57-b10e199949e2,1149663,115,_4a8f6d5e-5516-41e6-be13-d585eec2ed20,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_dc90f8dc-e328-4c9d-944a-8130d7be8906,1149682,13.8,_4a8f6d5e-5516-41e6-be13-d585eec2ed20,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_bf3f1a4c-5bb5-41a9-b407-6372b48517ad,1149827,115,_65eb88ff-6ac0-4e15-acf6-ece2a813c70d,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9e3c047a-8ef8-4084-93d9-513a58e84879,1149876,13.8,_65eb88ff-6ac0-4e15-acf6-ece2a813c70d,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ad67c102-751e-4036-bad8-69ab7ed32c99,1150015,115,_4cdb9397-6b5a-4c5e-be7c-c778a6f86496,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_25e890da-4828-4c89-bd95-ef4d5f32b06c,1150096,115,_d45b325a-6dae-4782-a8f1-05f5a4e3d894,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3cabdc1d-9b7a-4679-bfe5-e15b50e508e9,1150159,115,_e6d31864-a03f-4241-a2c9-2ac4ca6e973c,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3398ac03-d73f-4fc1-810d-8fe99dc29dee,1150217,13.8,_e6d31864-a03f-4241-a2c9-2ac4ca6e973c,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_6d6dd760-250f-4c17-aa34-4983b268b9b2,1150486,115,_237f0233-c623-42d1-a6a6-497393eee7e0,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_14293e45-a7da-4d8a-8f62-a858a2167ad3,1150575,13.8,_237f0233-c623-42d1-a6a6-497393eee7e0,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_87a6783d-d89a-4528-aeb0-1e06d1e22479,1150739,115,_9996b156-a359-4695-b195-056c86437395,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
