"SynchronousMachine:
ID","SynchronousMachine:
VoltRegStatus","SynchronousMachine:
Description","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","SynchronousMachine:
RegulatingCondEqRegulatesTerminal:
Terminal:
ID","Terminal:
InternalId","Terminal:
Name","Terminal:
Parent","Terminal:
ObjectType"
_34137270-9fb6-4d76-b190-cd9de65fd8c4,Fixed Voltage Regulation,01ECA-U1,795926,UN-01,_5d6e9908-c3e3-46af-af8e-cb2ed88d5d71,SynchronousMachine,_73e32534-56b7-4020-a88d-0a13a20afd76,795927,T1,_34137270-9fb6-4d76-b190-cd9de65fd8c4,Terminal
_30d97bf3-ff39-438b-8b51-dfd0cbf06834,Fixed Voltage Regulation,01ELG-U1,798166,UN-01,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine,_31dd0e57-550f-4ae1-a807-923285f94f3a,798167,T1,_30d97bf3-ff39-438b-8b51-dfd0cbf06834,Terminal
_48d9c7f0-b7d3-413f-a6dd-4da6e376f5d7,Fixed Voltage Regulation,01ELG-U2,798168,UN-02,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine,_949fad79-75e8-4bf6-b789-3657adbcf551,798169,T1,_48d9c7f0-b7d3-413f-a6dd-4da6e376f5d7,Terminal
_23808aae-75b2-44ef-9e50-5ace1b9b1fb9,Fixed Voltage Regulation,01GEV-PTA,799848,UNPTA,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,,,,,
_9850c245-5c7f-44e2-bb66-0ef9fddd0395,Fixed Voltage Regulation,01GEV-U1,799850,UN-01,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,_ed5d6b5f-2025-4ed3-937a-58f2046f8a4f,799851,T1,_9850c245-5c7f-44e2-bb66-0ef9fddd0395,Terminal
_365f4c50-4cca-4db4-87f2-d739aa0683d0,Fixed Voltage Regulation,01GEV-U2,799852,UN-02,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,_e76bbd47-61fc-4ead-ace8-bc5ffeb8478d,799853,T1,_365f4c50-4cca-4db4-87f2-d739aa0683d0,Terminal
_ce4422c3-c7aa-4173-8b99-876c5a51ff3a,Fixed Voltage Regulation,01GEV-U3,799854,UN-03,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,_5ec884a6-3bbb-49fd-9f58-16885f1c08df,799855,T1,_ce4422c3-c7aa-4173-8b99-876c5a51ff3a,Terminal
_47d384c1-5755-42b5-babc-622404d2b19c,Fixed Voltage Regulation,01INF-U1,801763,UN-01,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,_acbc8e1a-31de-4ffb-a3af-38042bb18cb7,801764,T1,_47d384c1-5755-42b5-babc-622404d2b19c,Terminal
_da8931fa-4eda-4ce8-9983-41af95c9690f,Fixed Voltage Regulation,01INF-U2,801765,UN-02,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,_8411c6fb-fea4-4019-8157-6e623f84bd4b,801766,T1,_da8931fa-4eda-4ce8-9983-41af95c9690f,Terminal
_5a3e58f8-a2cf-4c97-8581-666c5d9d39fe,Fixed Voltage Regulation,01INF-U3,801767,UN-03,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,_447615ad-6a22-4390-a515-c68de80cc0fb,801768,T1,_5a3e58f8-a2cf-4c97-8581-666c5d9d39fe,Terminal
_91af2988-73d3-4ec9-9723-ffad532c323a,Fixed Voltage Regulation,01INF-U4,801769,UN-04,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,_2fac7498-5703-4160-abe7-dcd5dfee03c4,801770,T1,_91af2988-73d3-4ec9-9723-ffad532c323a,Terminal
_a9cdc28f-9704-4e49-b9b5-fa4dbd34f360,Fixed Voltage Regulation,01INF-U5,801771,UN-05,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,_b4a5231e-5f71-4ece-a073-122058003c48,801772,T1,_a9cdc28f-9704-4e49-b9b5-fa4dbd34f360,Terminal
_09a02ad3-18e3-496f-82fe-6fb315eff302,Fixed Voltage Regulation,01INF-U6,801773,UN-06,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,_43ec211e-f359-4cac-a948-ec63c098b0da,801774,T1,_09a02ad3-18e3-496f-82fe-6fb315eff302,Terminal
_d09ed293-541f-46cc-bce0-cf1e408dfe25,Fixed Voltage Regulation,01IUN-U1,804300,UN-01,_62cd6088-bb61-4c02-ae9e-e42fed68869b,SynchronousMachine,_7e05265b-73e6-4249-972b-9095e1e2193d,804301,T1,_d09ed293-541f-46cc-bce0-cf1e408dfe25,Terminal
_b0cb8c30-eb50-468c-8789-65ccdce609fb,Fixed Voltage Regulation,01IZT-U1,805113,UN-01,_28f54f20-34ce-460e-ba9b-229683b7fdf7,SynchronousMachine,_dfaeaa75-0b79-47b4-976d-5d5909f96c9f,805114,T1,_b0cb8c30-eb50-468c-8789-65ccdce609fb,Terminal
_263d55b6-0530-4d8c-bde7-0142b72ae216,Fixed Voltage Regulation,01JOL-U1,810218,UN-01,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,_7bdca72f-5ff6-4c89-8ebc-67537f19874f,810219,T1,_263d55b6-0530-4d8c-bde7-0142b72ae216,Terminal
_c46467e3-ee24-45ab-ab57-133d071dac81,Fixed Voltage Regulation,01JOL-U2,810220,UN-02,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,_72e4fc6e-5493-4b6a-9dd1-ac827dd7ec3c,810221,T1,_c46467e3-ee24-45ab-ab57-133d071dac81,Terminal
_07e27155-0a35-49f6-9bf9-6cffba6d2a02,Fixed Voltage Regulation,01JOL-U3,810222,UN-03,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,_c1c19a8d-93da-4913-8866-f00fe267bd09,810223,T1,_07e27155-0a35-49f6-9bf9-6cffba6d2a02,Terminal
_e6c2ab9f-2f59-4cee-a9e1-7c2747b8106c,Fixed Voltage Regulation,01JOL-U4,810224,UN-04,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,_414e1f36-5e47-4e17-a42e-de06aef58e84,810225,T1,_e6c2ab9f-2f59-4cee-a9e1-7c2747b8106c,Terminal
_00e92b95-64f4-4152-97f4-e51e832ef042,Fixed Voltage Regulation,01LEC-U1,815531,UN-01,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,_debbe1db-b605-4404-98ae-53c4fec0ddc7,815532,T1,_00e92b95-64f4-4152-97f4-e51e832ef042,Terminal
_845a7f51-793c-45c4-b25e-528f617b21e0,Fixed Voltage Regulation,01LEC-U2,815533,UN-02,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,_2cc64b21-3ebd-4ed8-bc1d-890ab6e6a44e,815534,T1,_845a7f51-793c-45c4-b25e-528f617b21e0,Terminal
_993d2a66-d225-4834-a21b-57a4f27f976a,Fixed Voltage Regulation,01LEC-U3,815535,UN-03,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,_f58388ee-c1cb-4d6d-82ef-0fb43df3652c,815536,T1,_993d2a66-d225-4834-a21b-57a4f27f976a,Terminal
_3dec41d4-b290-4461-89d8-d857850d0568,Fixed Voltage Regulation,01LEC-U4,815537,UN-04,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,_d0d1f3fe-04a6-49d9-ab9c-001df5fd93fb,815538,T1,_3dec41d4-b290-4461-89d8-d857850d0568,Terminal
_9bcdeb79-950a-480c-8870-d8260528d778,Fixed Voltage Regulation,01MAG-U1,819217,UN-01,_e5eb5309-0aca-449b-949e-b4e32b69690d,SynchronousMachine,_78ec51d1-2193-40b2-8170-19f26942fadd,819218,T1,_9bcdeb79-950a-480c-8870-d8260528d778,Terminal
_37dbd381-1979-437d-b380-1b12d32239b3,Fixed Voltage Regulation,01NEC-U1,825438,UN-01,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_49716c36-e3d2-4451-91ac-6f8e627e631e,825307,T1,_45db21fe-50ae-47e4-9f2b-401b2622cf92,Terminal
_1bd07f7d-5ecd-4cd7-850b-2c425a0e1a87,Fixed Voltage Regulation,01NEC-U10,825440,UN-10,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_91665018-9622-42d6-b6a9-bf47c3e5acc2,825313,T1,_536c33f7-7662-40fc-aaaa-f36ecbd3623e,Terminal
_daf584b6-9ae1-4dbc-83a2-53cef1d47762,Fixed Voltage Regulation,01NEC-U2,825442,UN-02,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_7eab0142-4dc9-4e02-9515-41bcb70222ab,825309,T1,_c5e63a82-c854-4c3e-b5bf-421624cfe281,Terminal
_e03acaea-962a-4d8a-b987-4e9f370fa57b,Fixed Voltage Regulation,01NEC-U3,825444,UN-03,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_49716c36-e3d2-4451-91ac-6f8e627e631e,825307,T1,_45db21fe-50ae-47e4-9f2b-401b2622cf92,Terminal
_4ff7a647-3388-46fc-97cc-91833a0ea32b,Fixed Voltage Regulation,01NEC-U4,825446,UN-04,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_7eab0142-4dc9-4e02-9515-41bcb70222ab,825309,T1,_c5e63a82-c854-4c3e-b5bf-421624cfe281,Terminal
_f0145dc1-f823-4a13-b217-8c0214b8b97f,Fixed Voltage Regulation,01NEC-U5,825448,UN-05,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_7eab0142-4dc9-4e02-9515-41bcb70222ab,825309,T1,_c5e63a82-c854-4c3e-b5bf-421624cfe281,Terminal
_3e0f5869-19c1-4a07-b556-7d7c53682a2c,Fixed Voltage Regulation,01NEC-U6,825450,UN-06,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_61da551a-cfb2-4bcd-a547-4cc5fb3e488b,825311,T1,_93e11963-2813-441d-9dc7-b0c3de32308b,Terminal
_728d9562-c5a8-4769-ab33-14507d8dfbb5,Fixed Voltage Regulation,01NEC-U7,825452,UN-07,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_61da551a-cfb2-4bcd-a547-4cc5fb3e488b,825311,T1,_93e11963-2813-441d-9dc7-b0c3de32308b,Terminal
_1a330a8f-bbb1-4204-a334-fcc01f151b1d,Fixed Voltage Regulation,01NEC-U8,825454,UN-08,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_61da551a-cfb2-4bcd-a547-4cc5fb3e488b,825311,T1,_93e11963-2813-441d-9dc7-b0c3de32308b,Terminal
_1fc48cec-8409-4c8c-a299-92febefc6f4a,Fixed Voltage Regulation,01NEC-U9,825456,UN-09,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,_91665018-9622-42d6-b6a9-bf47c3e5acc2,825313,T1,_536c33f7-7662-40fc-aaaa-f36ecbd3623e,Terminal
_f6cbd249-0a85-4be0-ba72-2ff481d14854,Fixed Voltage Regulation,01NON-U1,827439,UN-01,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,_8be696d5-e23e-469b-a802-794473359f8b,827440,T1,_f6cbd249-0a85-4be0-ba72-2ff481d14854,Terminal
_cfa30060-71f6-4c5c-bf0e-df11b422d757,Fixed Voltage Regulation,01NON-U2,827441,UN-02,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,_25fa78b1-6938-411d-930a-e2fd1b1a166c,827442,T1,_cfa30060-71f6-4c5c-bf0e-df11b422d757,Terminal
_cdfcfe73-aaa1-4546-ab69-8f66040a32ea,Fixed Voltage Regulation,01NON-U3,827443,UN-03,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,_46218945-c332-4566-ada5-3c44467675b4,827444,T1,_cdfcfe73-aaa1-4546-ab69-8f66040a32ea,Terminal
_469ad090-e372-4d7f-ac9d-19e3623aa614,Fixed Voltage Regulation,01NON-U4,827445,UN-04,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,_f8fa7fde-79d9-456e-9b53-d755af9872d0,827446,T1,_469ad090-e372-4d7f-ac9d-19e3623aa614,Terminal
_81d82f90-f320-42a3-9f0f-76fdb00d3346,Fixed Voltage Regulation,01PEO-U1,832999,UN-01,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,_4a24dfe4-5078-4f9e-9cb7-02709c725fd0,833000,T1,_81d82f90-f320-42a3-9f0f-76fdb00d3346,Terminal
_e39cad08-4106-4308-81e7-6764b215adaa,Fixed Voltage Regulation,01PEO-U2,833001,UN-02,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,_76255ebb-de1a-46bc-966b-62c58cfab344,833002,T1,_e39cad08-4106-4308-81e7-6764b215adaa,Terminal
_be488c3c-c433-4f20-96f6-7d46dc5ae820,Fixed Voltage Regulation,01PEO-U3,833003,UN-03,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,_fb766090-70cf-436d-9212-db04560cddf4,833004,T1,_be488c3c-c433-4f20-96f6-7d46dc5ae820,Terminal
_11d9ea24-d9b0-44d4-8c25-05293c35596c,Fixed Voltage Regulation,01PEO-U4,833005,UN-04,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,_b25e990f-1d3a-4c4a-a820-105cdf4b27fb,833006,T1,_11d9ea24-d9b0-44d4-8c25-05293c35596c,Terminal
_3d9d92aa-7213-4d43-8553-129a68fd4fd4,Fixed Voltage Regulation,01PEO-U5,833007,UN-05,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,_07c676b2-42c2-489c-89b6-834f27cec9ab,833008,T1,_3d9d92aa-7213-4d43-8553-129a68fd4fd4,Terminal
_c0c10e65-f33d-45ab-810f-8be58f859cff,Fixed Voltage Regulation,01PEO-U6,833009,UN-06,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,_367960f8-1f25-4d1d-a37b-305606ee9eae,833010,T1,_c0c10e65-f33d-45ab-810f-8be58f859cff,Terminal
_0d7bfe21-cbea-4b97-8715-7e38269f4c95,Fixed Voltage Regulation,01PEO-U7,833032,UN-07,_188c6f8d-1ff1-4004-98d8-35549b49ec7d,SynchronousMachine,_6664a1eb-f18f-4738-9c27-38e214983718,833033,T1,_0d7bfe21-cbea-4b97-8715-7e38269f4c95,Terminal
_52c5d99e-5b1a-4b1c-8351-d7098896ddf0,Fixed Voltage Regulation,01PTA-U1,839297,UN-01,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_b1de6c2a-e64d-45bd-9259-c509455affd2,839298,T1,_52c5d99e-5b1a-4b1c-8351-d7098896ddf0,Terminal
_6f31f90f-1a97-4ebf-b697-cdd41bec1a67,Fixed Voltage Regulation,01PTA-U10,839299,UN-10,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_170ef399-1cbd-4519-b3e7-f7360054cdc3,839300,T1,_6f31f90f-1a97-4ebf-b697-cdd41bec1a67,Terminal
_f2c3fc34-d437-4fe2-9e6a-68a3a71c88fd,Fixed Voltage Regulation,01PTA-U11,839301,UN-11,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_b662e584-3bcb-4798-a1c0-83f4c828bac8,839302,T1,_f2c3fc34-d437-4fe2-9e6a-68a3a71c88fd,Terminal
_33b4fe5f-2430-4fd7-aeb7-c98254d63168,Fixed Voltage Regulation,01PTA-U12,839303,UN-12,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_b2d0bfd8-c53e-44d0-8cb2-4ef358fd0d48,839304,T1,_33b4fe5f-2430-4fd7-aeb7-c98254d63168,Terminal
_9fcb1324-27d0-40dc-8563-05dba958652c,Fixed Voltage Regulation,01PTA-U2,839305,UN-02,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_c6821ea4-98cc-4282-b670-43addd4814ed,839306,T1,_9fcb1324-27d0-40dc-8563-05dba958652c,Terminal
_064f34fd-e38d-4603-8e5b-152b652fd4e7,Fixed Voltage Regulation,01PTA-U3,839307,UN-03,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_b8a04a1b-0b30-44ca-b3d7-d866f2360acc,839308,T1,_064f34fd-e38d-4603-8e5b-152b652fd4e7,Terminal
_084a7720-65d6-433f-9a5a-54bd298fca5b,Fixed Voltage Regulation,01PTA-U4,839309,UN-04,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_92a54430-c5ac-499e-9749-0792181e02ee,839310,T1,_084a7720-65d6-433f-9a5a-54bd298fca5b,Terminal
_a7450c93-d45d-4ffb-8379-a3311ef3aca8,Fixed Voltage Regulation,01PTA-U5,839311,UN-05,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_775eb7e7-3007-4c22-be1c-cbef10a548b5,839312,T1,_a7450c93-d45d-4ffb-8379-a3311ef3aca8,Terminal
_be743ba2-7f58-4cda-b4b3-d98b56c36f5f,Fixed Voltage Regulation,01PTA-U6,839313,UN-06,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_ad651051-a532-44aa-a14d-4adf758d5398,839314,T1,_be743ba2-7f58-4cda-b4b3-d98b56c36f5f,Terminal
_a2a3f2ef-33d5-48ae-931f-d4040818dd72,Fixed Voltage Regulation,01PTA-U7,839315,UN-07,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_f97282a6-ba44-4764-bdef-35ac2b2341fa,839316,T1,_a2a3f2ef-33d5-48ae-931f-d4040818dd72,Terminal
_443e3207-8962-4e5e-920b-52579c979676,Fixed Voltage Regulation,01PTA-U8,839317,UN-08,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_98799c5e-2478-4e62-a9bb-fc924f161c49,839318,T1,_443e3207-8962-4e5e-920b-52579c979676,Terminal
_a68e7a47-dcf4-4b9f-a60c-dabed5a50dae,Fixed Voltage Regulation,01PTA-U9,839319,UN-09,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,_d1f00124-a40b-422e-af78-7be7739edcac,839320,T1,_a68e7a47-dcf4-4b9f-a60c-dabed5a50dae,Terminal
_05e1260d-ae7a-4409-82fd-b5b7da80634e,Fixed Voltage Regulation,01PTL-U1,839659,UN-01,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,_9f0f9f70-78d4-40f4-9c22-8be0f73bcd38,839660,T1,_05e1260d-ae7a-4409-82fd-b5b7da80634e,Terminal
_3871c6cf-7bd4-4e14-8dce-a662eae5ee8a,Fixed Voltage Regulation,01PTL-U2,839661,UN-02,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,_7794aece-9f02-4c3b-93fd-df3b7be1b8e2,839662,T1,_3871c6cf-7bd4-4e14-8dce-a662eae5ee8a,Terminal
_e5a3544d-aabc-4af2-866e-3917886412af,Fixed Voltage Regulation,01PTL-U3,839663,UN-03,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,_4df3c0d5-0679-4337-8a6b-7118afb89e4f,839664,T1,_e5a3544d-aabc-4af2-866e-3917886412af,Terminal
_c72b17e3-505e-4fb4-8e2e-a61261598419,Fixed Voltage Regulation,01REM-U1,853144,UN-01,_fb5f389c-9b06-4aab-bae1-0bbe7b4a9f0d,SynchronousMachine,_1b1a29f6-66db-4097-8de3-4bbfa1893af7,853145,T1,_c72b17e3-505e-4fb4-8e2e-a61261598419,Terminal
_93bd01c0-aefc-4153-a02b-03a3bf4ed0cc,Fixed Voltage Regulation,01TCC-PQ1,861871,UNPQ1,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,,,,,
_aa735e82-96f7-4df8-ad28-9e7334357327,Fixed Voltage Regulation,01TCC-PQ2,861873,UNPQ2,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,,,,,
_8c132ccb-a099-48eb-9f9f-bace2659a30f,Fixed Voltage Regulation,01TCC-U3,861875,UN-03,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,_d0851e92-0586-4fa6-805d-a117a6ace005,861876,T1,_8c132ccb-a099-48eb-9f9f-bace2659a30f,Terminal
_6176bb9f-e269-4cda-94dd-500b0ae548a7,Fixed Voltage Regulation,01TCC-U6,861877,UN-06,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,_e855a4e4-66f0-41cd-894e-2001231f3ce5,861878,T1,_6176bb9f-e269-4cda-94dd-500b0ae548a7,Terminal
_95075823-0156-449e-90b2-d3e297d136e8,Fixed Voltage Regulation,01TCC-U7,861928,UN-07,_8206267f-7655-4ed0-a726-61658f190794,SynchronousMachine,_4ecd4d94-e3e4-4ac3-939b-f23b7ee5f3c2,861929,T1,_95075823-0156-449e-90b2-d3e297d136e8,Terminal
_bcc8920c-b736-47c4-b376-8debc31ebf1a,Fixed Voltage Regulation,01TCC-U8,861930,UN-08,_8206267f-7655-4ed0-a726-61658f190794,SynchronousMachine,_cf8c8ad0-c135-4ff5-8926-6e07435b50fc,861931,T1,_bcc8920c-b736-47c4-b376-8debc31ebf1a,Terminal
_61d06162-0d85-46dc-b9e0-ef12ddb8cef9,Fixed Voltage Regulation,01TEP-U1,863655,UN-01,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine,_db6dcfa2-fb88-4ec4-832a-45d8b350cd70,863656,T1,_61d06162-0d85-46dc-b9e0-ef12ddb8cef9,Terminal
_d7e5222a-2d1d-46bb-af11-cdf4b3d8a77f,Fixed Voltage Regulation,01TEP-U2,863657,UN-02,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine,_5d588149-db76-4761-bd3e-e89d996a29fb,863658,T1,_d7e5222a-2d1d-46bb-af11-cdf4b3d8a77f,Terminal
_d107bb65-dff9-4307-a15d-ba155a7cfffd,Fixed Voltage Regulation,01TEP-U3,863659,UN-03,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine,_e2d98890-2418-48f7-a774-f05df5e4130b,863660,T1,_d107bb65-dff9-4307-a15d-ba155a7cfffd,Terminal
_716c5273-5ea0-4d93-b4f4-a9ec977784f9,Fixed Voltage Regulation,01TUL-U1,870134,UN-01,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,_5643d2a3-4bbb-432c-9e76-036ff8e8c0d2,870135,T1,_716c5273-5ea0-4d93-b4f4-a9ec977784f9,Terminal
_664f0aca-8d2c-449c-b816-16bc8e833c22,Fixed Voltage Regulation,01TUL-U2,870136,UN-02,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,_70b508ca-aa69-4527-a353-f2eeb671e10c,870137,T1,_664f0aca-8d2c-449c-b816-16bc8e833c22,Terminal
_3229fcae-9a34-4b56-bc62-c5c78c379525,Fixed Voltage Regulation,01TUL-U3,870138,UN-03,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,_5e8acda6-4541-4307-9d02-c7a236d10c08,870139,T1,_3229fcae-9a34-4b56-bc62-c5c78c379525,Terminal
_4aea32b3-1c5a-4515-9b2e-9c3a3aa74672,Fixed Voltage Regulation,01TUL-U4,870140,UN-04,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,_b16cd5d0-4403-4113-80ff-1b928734ae61,870141,T1,_4aea32b3-1c5a-4515-9b2e-9c3a3aa74672,Terminal
_a868e085-d75b-413f-9e8d-ec4a8e0b26f4,Fixed Voltage Regulation,01TUL-U5,870142,UN-05,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,_6df386f6-4da2-4a88-810d-1f8e5f848d58,870143,T1,_a868e085-d75b-413f-9e8d-ec4a8e0b26f4,Terminal
