"TransformerWinding:
ID","TransformerWinding:
InternalId","TransformerWinding:
Name","TransformerWinding:
Parent","TransformerWinding:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","TransformerWinding:
ConductingEquipmentUsesABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_f73332c1-5361-40f0-bb3d-0f888f660e70,750487,Baja,_6b292d3b-9bd8-40cc-9d22-d04c3b35c583,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a21c6b75-5a40-49c9-b620-168f590349be,750828,Alta,_7319e60e-c1d1-4a6c-ab96-9b6867c70430,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_15e069f5-fc83-49fd-8db9-816045fd1f81,750830,Baja,_7319e60e-c1d1-4a6c-ab96-9b6867c70430,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_23e2556d-7b16-4bd2-badd-b51d5264654f,750834,Alta,_fa06dc77-51c4-4304-ae0d-4bebc255ae7d,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5c948a87-9147-4915-a7c8-0058ebf050b7,750836,Baja,_fa06dc77-51c4-4304-ae0d-4bebc255ae7d,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5db21b3b-2119-485f-aeac-caffa0bf678e,751248,Alta,_3cc4f01a-7540-4c51-94cc-74bf486b1eb4,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_82968189-a699-4445-b6e9-4337854e9a64,751250,Baja,_3cc4f01a-7540-4c51-94cc-74bf486b1eb4,TransformerWinding,Network/.Base Voltages/Base 6,590821,Base 6,_a7f03201-af56-4b3e-90fa-8d8a65619103,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_654df38a-02a5-4dde-9d29-ac16970359e7,751253,Alta,_4e2e061c-19d3-48e8-a2b4-ab7e15a22690,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4120e922-427a-471d-957a-5052e76446e2,751255,Baja,_4e2e061c-19d3-48e8-a2b4-ab7e15a22690,TransformerWinding,Network/.Base Voltages/Base 6,590821,Base 6,_a7f03201-af56-4b3e-90fa-8d8a65619103,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_932e2a17-8e30-4108-b8c8-0af8561f1cbf,751258,Alta,_d630f68c-04ec-4e67-8a91-3d69fd2f8d6e,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_389ac505-c381-40a2-aa63-298d5800d77d,751260,Baja,_d630f68c-04ec-4e67-8a91-3d69fd2f8d6e,TransformerWinding,Network/.Base Voltages/Base 6,590821,Base 6,_a7f03201-af56-4b3e-90fa-8d8a65619103,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_18a0a07f-9a1b-47d2-b81e-fb79ffdf995f,757330,Alta,_82d55b0a-b9f2-4fcb-842c-303a699831d4,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8f1c0abe-6844-457c-86f3-a5b618f3f5ef,757332,Baja,_82d55b0a-b9f2-4fcb-842c-303a699831d4,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_bbd7e5e8-f092-474d-85bc-5292e51a2eb3,757567,Alta,_f71d0f2b-60a5-4684-ade1-120ddb36f437,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_86d39792-7165-4ed6-8c20-de5e61b41c5b,757569,Baja,_f71d0f2b-60a5-4684-ade1-120ddb36f437,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c0135f50-3e74-4924-a1da-58f6dc561ac3,757573,Alta,_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_609a75f7-9eef-4e6a-80a0-4282a1b99f5e,757575,Baja,_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3222fde4-abf6-4c30-b924-b81326041a81,757579,Alta,_334bd09d-1ce5-4862-9a58-35f9caeb7fc3,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a41ae4ec-5314-4e84-865c-8c9f3ce66693,757581,Baja,_334bd09d-1ce5-4862-9a58-35f9caeb7fc3,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_afbc313d-1e2f-4106-b25d-afedc6abc3bb,757585,Alta,_b65b68b2-01e6-4fd1-9090-cbebf0d578f3,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_980c5e87-28ab-43ef-9be8-57e7b1892f9d,757587,Baja,_b65b68b2-01e6-4fd1-9090-cbebf0d578f3,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_49edf65e-5edd-4cad-b303-18894412a1ee,758339,Alta,_cf1de19d-2d9e-4dbe-91c5-092960864081,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_034cba3e-cc8e-46b8-8db7-d2001b4b06d3,758341,Baja,_cf1de19d-2d9e-4dbe-91c5-092960864081,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_52d64fc6-bf3a-4dfd-98a0-8096dfa88a94,758345,Alta,_e43f77fe-c69a-4bfa-a47d-a3bc131f70c2,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3acde049-8495-434d-a71a-76b598110d8a,758347,Baja,_e43f77fe-c69a-4bfa-a47d-a3bc131f70c2,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_25211372-f901-4eca-9507-db384a161bfb,758351,Alta,_f2c8b716-d682-492d-bd0c-2e38e530b693,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ff23206b-3a2b-4403-8ac0-d2aadaf62ad9,758353,Baja,_f2c8b716-d682-492d-bd0c-2e38e530b693,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9298f0b5-bd32-4c8a-9aeb-165497c580d0,758357,Alta,_7c43ba4c-b458-4029-b511-9391cf1669f1,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_24333db6-3384-416a-b9e7-eb4d186d5273,758359,Baja,_7c43ba4c-b458-4029-b511-9391cf1669f1,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b82166fc-dec1-4cc2-ba1d-788da96cce6e,758832,Alta,_8f857ec4-2c29-44ab-8d21-3d22f8d00e8a,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_589f082f-d9a4-457c-9459-4864828abf98,758834,Baja,_8f857ec4-2c29-44ab-8d21-3d22f8d00e8a,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4bc792f2-f48f-402d-9f8e-7c9f79f3c57b,758838,Alta,_ce3b159e-a7ac-48f8-94f6-ba3c37539844,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_35d1ff4f-0fc1-4165-ad70-85c922d67a78,758840,Baja,_ce3b159e-a7ac-48f8-94f6-ba3c37539844,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8260c38f-40ef-4e20-949c-f43939b84fc7,758844,Alta,_e97bf7a7-97cc-42a2-bd21-3d784ef9ffec,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_cc6cf28b-d7a5-4eba-869f-7827f2555473,758846,Baja,_e97bf7a7-97cc-42a2-bd21-3d784ef9ffec,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a63e02d7-560d-4d52-8557-27a10a548bc3,758850,Alta,_d6503e8f-5804-43e0-8bca-5d147f2073ba,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2422e549-19b0-44fe-8e5a-1bf44cac144a,758852,Baja,_d6503e8f-5804-43e0-8bca-5d147f2073ba,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f12aa860-004c-40b8-adf6-ccfc6b68f5a2,758856,Alta,_da871de3-0169-416c-8d89-f9ab5edf089d,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d52e3278-8bf9-4aec-bf54-4eaa92a2d631,758858,Baja,_da871de3-0169-416c-8d89-f9ab5edf089d,TransformerWinding,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_727d380d-56db-4566-91af-c5d68c40f766,760841,Alta,_cc5bef74-9036-4a2c-a8f9-fcc93bf98463,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b69c37bb-2d47-4121-9bc6-78c2548e2201,760843,Baja,_cc5bef74-9036-4a2c-a8f9-fcc93bf98463,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_755de534-99bf-4eba-9d8b-b3dd3f5256c7,760847,Alta,_aa72df80-aba5-44e3-9082-5650ecda70d6,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2dfe03f0-a4b6-42da-9203-8685e7a14407,760849,Baja,_aa72df80-aba5-44e3-9082-5650ecda70d6,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e66b7d78-31d8-42bc-9bb4-5eaa8b77924a,761565,Alta,_a6a6b496-cd1c-44be-86a1-6ea3fd4afe1c,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a9c45362-5051-44ae-972d-e082dec2c419,761567,Baja,_a6a6b496-cd1c-44be-86a1-6ea3fd4afe1c,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_bdff83ef-f6b5-4113-9501-1681d87f3125,761571,Alta,_6e2dbc67-9306-4450-a038-cf136fc7e0e1,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5434eda4-3214-435b-bbc4-1952434279ae,761573,Baja,_6e2dbc67-9306-4450-a038-cf136fc7e0e1,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d82c2372-dfad-4dc8-96b4-35fc060be442,761577,Alta,_e31ff7b9-e14c-4ce1-922f-36bbbde1769c,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f9a65cbd-6c71-493b-8b3b-0423c931cf47,761579,Baja,_e31ff7b9-e14c-4ce1-922f-36bbbde1769c,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_443d7174-2fef-4dbb-bbc1-a7b1ab03a759,761583,Alta,_29901735-9392-458c-ae0f-7de5b9d94d06,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_24a82b98-f66a-4353-9908-c4659076bf7a,761585,Baja,_29901735-9392-458c-ae0f-7de5b9d94d06,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_46b1e313-cca2-4ba9-8e71-7ed4570f106d,761589,Alta,_3845a0f6-8aca-4f16-b558-9c2524096da3,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d5752673-512c-4675-868d-458709a6d96e,761591,Baja,_3845a0f6-8aca-4f16-b558-9c2524096da3,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_36c5e54b-a883-4eaa-aaea-bda60ea973e8,761595,Alta,_4fd2703e-7eb0-443d-92dc-94b6893f3d27,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3d4b161d-79b8-4058-912a-1afef78f04fd,761597,Baja,_4fd2703e-7eb0-443d-92dc-94b6893f3d27,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c587f001-76c3-4673-82a8-907a36874636,761601,Alta,_9bab28d0-33f8-4e56-b9fc-114488580c49,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7e773799-4890-4a01-937d-41b7d634da6f,761603,Baja,_9bab28d0-33f8-4e56-b9fc-114488580c49,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_83dbf4ea-e5a1-4ed4-bfbd-abf2ec4ed0d5,761607,Alta,_1a16e669-6d88-4ee6-8188-6be7c2eafbf4,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_571a5a66-ff49-4d21-aef6-11db11051bcd,761609,Baja,_1a16e669-6d88-4ee6-8188-6be7c2eafbf4,TransformerWinding,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_babec7d2-9e29-435c-8947-d4722238f15c,763319,Alta,_27df3174-995d-4cce-9b84-254f79a5653b,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d72e1d13-4f29-463a-a704-9989a5434f48,763321,Baja,_27df3174-995d-4cce-9b84-254f79a5653b,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_48e4cf54-c46d-4fab-a710-ab9b1658702d,763325,Alta,_d6cd9eaa-a3dc-42fb-a185-0bdb878ac567,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_6dfeb32c-99a1-4e6a-a1f5-278f5b4111ba,763327,Baja,_d6cd9eaa-a3dc-42fb-a185-0bdb878ac567,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8aa0f94f-5f2c-46b7-8794-6eaaef9fd035,763331,Alta,_aa00bb24-532e-43d9-bd02-111eed89d365,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b18631f7-02f2-4bb9-9d82-69801d1e877e,763333,Baja,_aa00bb24-532e-43d9-bd02-111eed89d365,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f4ecd081-e500-4309-bf38-54a1fc915f18,763769,Alta,_4080cf7f-8acf-424c-8c0c-981887baabc8,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ba94f7b8-2cd6-47cf-9dd2-fbb5cadab05f,763771,Baja,_4080cf7f-8acf-424c-8c0c-981887baabc8,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
